ACC,MIhat,Purity,P,R,F,RI,omega,lambda,r,p,time,iter
0.7900,0.8805,0.8100,0.7080,0.7261,0.7170,0.7103,0.01000,0.0100,5.0,0.5,2.24,12,bw 
0.7950,0.8843,0.8125,0.7153,0.7272,0.7212,0.7147,0.01000,0.0100,5.0,0.4,2.08,12,bw 
0.8075,0.8916,0.8300,0.7324,0.7589,0.7454,0.7394,0.01000,0.0100,5.0,0.3,2.39,13,bw 
0.7950,0.8904,0.8125,0.7171,0.7406,0.7286,0.7222,0.01000,0.0100,5.0,0.2,3.03,15,bw 
0.7800,0.8792,0.8025,0.7022,0.7256,0.7137,0.7069,0.01000,0.0100,5.0,0.1,2.07,10,bw 
0.8550,0.9171,0.8650,0.7894,0.8039,0.7966,0.7918,0.01000,0.1000,5.0,1.0,7.95,46,bw 
0.8475,0.9142,0.8625,0.7856,0.8022,0.7938,0.7890,0.01000,0.1000,5.0,0.9,8.00,42,bw 
0.8225,0.8987,0.8375,0.7403,0.7633,0.7516,0.7458,0.01000,0.1000,5.0,0.8,8.70,41,bw 
0.8200,0.8996,0.8350,0.7427,0.7617,0.7521,0.7463,0.01000,0.1000,5.0,0.7,6.39,37,bw 
0.7950,0.8888,0.8125,0.7174,0.7333,0.7253,0.7189,0.01000,0.1000,5.0,0.6,7.28,41,bw 
0.7950,0.8888,0.8125,0.7174,0.7333,0.7253,0.7189,0.01000,0.1000,5.0,0.5,6.72,37,bw 
0.8000,0.8895,0.8175,0.7250,0.7367,0.7308,0.7245,0.01000,0.1000,5.0,0.4,6.00,33,bw 
0.7900,0.8856,0.8075,0.7094,0.7256,0.7174,0.7108,0.01000,0.1000,5.0,0.3,3.70,22,bw 
0.7975,0.8884,0.8150,0.7207,0.7339,0.7272,0.7209,0.01000,0.1000,5.0,0.2,3.12,18,bw 
0.8025,0.8876,0.8175,0.7239,0.7383,0.7310,0.7248,0.01000,0.1000,5.0,0.1,2.91,16,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,1.0000,5.0,1.0,15.73,85,bw 
0.9750,0.9906,0.9750,0.9474,1.0000,0.9730,0.9723,0.01000,1.0000,5.0,0.9,13.79,81,bw 
0.7750,0.8860,0.7875,0.6709,0.8133,0.7353,0.7286,0.01000,1.0000,5.0,0.8,13.43,78,bw 
0.8175,0.8956,0.8325,0.6823,0.8328,0.7501,0.7437,0.01000,1.0000,5.0,0.7,14.37,73,bw 
0.7675,0.8751,0.7850,0.6630,0.7694,0.7123,0.7051,0.01000,1.0000,5.0,0.6,11.15,67,bw 
